Split,Strategy,Fold,F2,AvgPrecision,ROC-AUC,P@100,Precision,Recall,AP_shared_comp,AP_unique_comp
random,ADASYN,6,0.460431654676259,0.3681408837088622,0.8774927907071199,0.39,0.1844380403458213,0.735632183908046,0.30267998601570456,0.40534695548418975
random,ADASYN,7,0.4659248956884562,0.42693690114017646,0.889254430499709,0.43,0.18059299191374664,0.7701149425287356,0.18364764601346384,0.4856362749364459
random,ADASYN,8,0.44935805991440797,0.35097230261021795,0.8542615310440884,0.35,0.18051575931232092,0.7159090909090909,0.2419695046603357,0.3808822338846889
random,ADASYN,9,0.4126547455295736,0.35133012675321684,0.8562369421974607,0.37,0.16,0.6818181818181818,0.2762247675320389,0.3867342728466487
random,ADASYN,10,0.4652777777777778,0.3617929623095312,0.8469510088797676,0.31,0.18010752688172044,0.7701149425287356,0.2551006125641573,0.411027489998291
random,ADASYN,11,0.39492242595204513,0.25085967229282097,0.8059244818109201,0.31,0.15512465373961218,0.6436781609195402,0.1813063710888309,0.28894761690890686
random,ADASYN,12,0.4607977991746905,0.3489448218830962,0.8742536858779091,0.37,0.17678100263852242,0.7701149425287356,0.35848076734260503,0.3617803602553877
random,ADASYN,13,0.41963015647226176,0.39306332794648347,0.8576766486312745,0.37,0.16809116809116809,0.6704545454545454,0.20327697827687247,0.4860802482902664
random,ADASYN,14,0.5079155672823219,0.489148902523768,0.9076746397385762,0.5,0.1896551724137931,0.875,0.5909421300739773,0.4715530189854484
random,ADASYN,15,0.4616477272727273,0.39254618099500677,0.8676907863098504,0.36,0.18258426966292135,0.7471264367816092,0.26767510172158504,0.43626170534837255
random,RUS,1,0.4272363150867824,0.39804032837176123,0.8659443835208427,0.4,0.1596009975062344,0.735632183908046,0.3895523889412336,0.401470983755715
random,RUS,2,0.4481792717086835,0.3041657328137114,0.8394561553145687,0.34,0.17486338797814208,0.735632183908046,0.31407855370077326,0.3094871435923944
random,RUS,3,0.44573643410852715,0.366682513663672,0.8803269138051106,0.41,0.16350710900473933,0.7840909090909091,0.2630320047944234,0.41141979050290794
